,activity,start,end,type,user,travel_start,travel_end,case,cost
2719,check if travel request needs preliminary price inquiry,01.10.17 06:21,01.10.17 06:22,,,16.03.17,18.03.17,1606,
2720,decide on approval requirements,01.10.17 06:22,01.10.17 06:24,,,16.03.17,18.03.17,1606,
2721,check if booking is necessary,01.12.17 09:52,01.12.17 09:54,Travel Department,NV2279,16.03.17,18.03.17,1606,
2722,check if expense documents exist,20.03.17 05:59,20.03.17 06:52,Employee,AV6058,16.03.17,18.03.17,1606,
2723,upload travel expense documents,20.03.17 06:52,20.03.17 07:12,Employee,AV6058,16.03.17,18.03.17,1606,
2724,file travel expense report,20.03.17 07:12,20.03.17 07:20,Employee,AV6058,16.03.17,18.03.17,1606,
2725,confirm travel expense report,20.03.17 07:20,20.03.17 07:22,Employee,AV6058,16.03.17,18.03.17,1606,
2726,decide on travel expense approval,20.03.17 13:10,20.03.17 13:11,Manager,MU7591,16.03.17,18.03.17,1606,
2727,calculate payments,04.05.17 07:59,04.05.17 09:20,Accounting,FI12,16.03.17,18.03.17,1606,
2728,send original documents to archive,04.07.17 15:45,04.07.17 17:20,Employee,AV6058,16.03.17,18.03.17,1606,
2729,pay expenses,24.04.17 10:42,24.04.17 10:53,Accounting,FI12,16.03.17,18.03.17,1606,
2730,file travel request,01.10.17 05:59,01.10.17 06:04,Employee,XF4782,01.03.17,03.03.17,1607,
2731,check if travel request needs preliminary price inquiry,01.10.17 06:04,01.10.17 06:04,,,01.03.17,03.03.17,1607,
2732,decide on approval requirements,01.10.17 06:04,01.10.17 06:05,,,01.03.17,03.03.17,1607,
2733,check if booking is necessary,01.12.17 08:14,01.12.17 08:16,Travel Department,AW2532,01.03.17,03.03.17,1607,
2734,prepare booking proposal,17.01.17 09:54,17.01.17 10:57,Travel Department,AW2532,01.03.17,03.03.17,1607,
2735,send booking proposal to employee,19.01.17 13:13,19.01.17 13:15,Travel Department,AW2532,01.03.17,03.03.17,1607,
2736,check booking proposal,19.01.17 17:15,19.01.17 17:18,Employee,XF4782,01.03.17,03.03.17,1607,
2737,book travel,25.01.17 09:03,25.01.17 09:46,Travel Department,AW2532,01.03.17,03.03.17,1607,
2738,check if expense documents exist,03.08.17 05:59,03.08.17 06:05,Employee,XF4782,01.03.17,03.03.17,1607,
2739,file travel expense report,03.08.17 06:05,03.08.17 06:18,Employee,XF4782,01.03.17,03.03.17,1607,
2740,confirm travel expense report,03.08.17 06:18,03.08.17 06:18,Employee,XF4782,01.03.17,03.03.17,1607,
2741,decide on travel expense approval,03.08.17 12:59,03.08.17 13:05,Manager,MA6233,01.03.17,03.03.17,1607,
2742,send request for travel expense correction,03.08.17 13:05,03.08.17 13:06,,,01.03.17,03.03.17,1607,
2743,correct travel expense report,15.03.17 14:06,15.03.17 14:31,Employee,XF4782,01.03.17,03.03.17,1607,
2744,decide on travel expense approval,16.03.17 12:59,16.03.17 13:01,Manager,MA6233,01.03.17,03.03.17,1607,
2745,send original documents to archive,21.03.17 16:10,21.03.17 16:14,Employee,XF4782,01.03.17,03.03.17,1607,
2746,calculate payments,25.04.17 08:16,25.04.17 10:18,Accounting,VA7847,01.03.17,03.03.17,1607,
2747,pay expenses,05.05.17 08:59,05.05.17 09:12,Accounting,VA7847,01.03.17,03.03.17,1607,
2748,file travel request,01.10.17 05:59,01.10.17 06:12,Employee,XC46,21.02.17,01.03.17,1608,
2749,check if travel request needs preliminary price inquiry,01.10.17 06:12,01.10.17 06:12,,,21.02.17,01.03.17,1608,
2750,decide on approval requirements,01.10.17 06:12,01.10.17 06:13,,,21.02.17,01.03.17,1608,
2751,forward request to approver,01.10.17 06:13,01.10.17 06:13,,,21.02.17,01.03.17,1608,
2752,decide on request,01.10.17 12:59,01.10.17 13:02,Manager,YS1169,21.02.17,01.03.17,1608,
2753,check if booking is necessary,01.12.17 15:46,01.12.17 15:47,Travel Department,JV9257,21.02.17,01.03.17,1608,
2754,check if expense documents exist,03.06.17 05:59,03.06.17 06:08,Employee,XC46,21.02.17,01.03.17,1608,
2755,file travel expense report,03.06.17 06:08,03.06.17 06:16,Employee,XC46,21.02.17,01.03.17,1608,
2756,confirm travel expense report,03.06.17 06:16,03.06.17 06:17,Employee,XC46,21.02.17,01.03.17,1608,
2757,decide on travel expense approval,03.06.17 12:59,03.06.17 13:02,Manager,YS1169,21.02.17,01.03.17,1608,
2758,send original documents to archive,15.03.17 15:03,15.03.17 15:17,Employee,XC46,21.02.17,01.03.17,1608,
2759,calculate payments,17.04.17 08:12,17.04.17 09:32,Accounting,FI12,21.02.17,01.03.17,1608,
2760,pay expenses,19.04.17 09:07,19.04.17 09:16,Accounting,FI12,21.02.17,01.03.17,1608,
2761,file travel request,01.10.17 05:59,01.10.17 06:11,Employee,ON5112,08.03.17,11.03.17,1609,
2762,check if travel request needs preliminary price inquiry,01.10.17 06:11,01.10.17 06:12,,,08.03.17,11.03.17,1609,
2763,decide on approval requirements,01.10.17 06:12,01.10.17 06:13,,,08.03.17,11.03.17,1609,
2764,check if booking is necessary,01.12.17 08:55,01.12.17 09:02,Travel Department,KS9688,08.03.17,11.03.17,1609,
2765,check if expense documents exist,15.03.17 19:30,15.03.17 20:09,Employee,ON5112,08.03.17,11.03.17,1609,
2766,file travel expense report,15.03.17 20:09,15.03.17 20:17,Employee,ON5112,08.03.17,11.03.17,1609,
2767,confirm travel expense report,15.03.17 20:17,15.03.17 20:18,Employee,ON5112,08.03.17,11.03.17,1609,
2768,decide on travel expense approval,16.03.17 12:59,16.03.17 13:03,Manager,OX4346,08.03.17,11.03.17,1609,
2769,send request for travel expense correction,16.03.17 13:03,16.03.17 13:04,,,08.03.17,11.03.17,1609,
2770,correct travel expense report,27.03.17 05:59,27.03.17 07:31,Employee,ON5112,08.03.17,11.03.17,1609,
2771,decide on travel expense approval,27.03.17 14:02,27.03.17 14:03,Manager,OX4346,08.03.17,11.03.17,1609,
2772,send request for travel expense correction,27.03.17 14:03,27.03.17 14:05,,,08.03.17,11.03.17,1609,
2773,correct travel expense report,04.03.17 06:59,04.03.17 07:48,Employee,ON5112,08.03.17,11.03.17,1609,
2774,decide on travel expense approval,04.03.17 14:03,04.03.17 14:08,Manager,OX4346,08.03.17,11.03.17,1609,
2775,send request for travel expense correction,04.03.17 14:08,04.03.17 14:09,,,08.03.17,11.03.17,1609,
2776,correct travel expense report,04.10.17 06:59,04.10.17 07:56,Employee,ON5112,08.03.17,11.03.17,1609,
2777,decide on travel expense approval,04.10.17 14:07,04.10.17 14:10,Manager,OX4346,08.03.17,11.03.17,1609,
2778,send request for travel expense correction,04.10.17 14:10,04.10.17 14:10,,,08.03.17,11.03.17,1609,
2779,correct travel expense report,04.12.17 06:59,04.12.17 07:15,Employee,ON5112,08.03.17,11.03.17,1609,
2780,decide on travel expense approval,04.12.17 13:59,04.12.17 14:01,Manager,OX4346,08.03.17,11.03.17,1609,
2781,send original documents to archive,24.04.17 06:59,24.04.17 07:21,Employee,ON5112,08.03.17,11.03.17,1609,
2782,calculate payments,15.05.17 10:53,15.05.17 11:37,Accounting,CX8911,08.03.17,11.03.17,1609,
2783,pay expenses,22.05.17 16:31,22.05.17 16:40,Accounting,CX8911,08.03.17,11.03.17,1609,
2784,file travel request,01.10.17 05:59,01.10.17 06:15,Employee,NJ7824,23.01.17,27.01.17,1610,
2785,check if travel request needs preliminary price inquiry,01.10.17 06:15,01.10.17 06:16,,,23.01.17,27.01.17,1610,
2786,decide on approval requirements,01.10.17 06:16,01.10.17 06:17,,,23.01.17,27.01.17,1610,
2787,check if booking is necessary,01.12.17 09:50,01.12.17 09:52,Travel Department,WG5857,23.01.17,27.01.17,1610,
2788,check if expense documents exist,30.01.17 19:34,30.01.17 19:57,Employee,NJ7824,23.01.17,27.01.17,1610,
2789,upload travel expense documents,30.01.17 19:57,30.01.17 20:20,Employee,NJ7824,23.01.17,27.01.17,1610,
2790,file travel expense report,30.01.17 20:20,30.01.17 20:26,Employee,NJ7824,23.01.17,27.01.17,1610,
2791,confirm travel expense report,30.01.17 20:26,30.01.17 20:30,Employee,NJ7824,23.01.17,27.01.17,1610,
2792,decide on travel expense approval,31.01.17 12:59,31.01.17 13:04,Manager,MA6233,23.01.17,27.01.17,1610,
2793,send original documents to archive,16.02.17 07:27,16.02.17 07:48,Employee,NJ7824,23.01.17,27.01.17,1610,
2794,calculate payments,21.02.17 08:26,21.02.17 08:53,Accounting,WO40,23.01.17,27.01.17,1610,
2795,pay expenses,03.08.17 07:59,03.08.17 08:08,Accounting,WO40,23.01.17,27.01.17,1610,
2796,file travel request,01.10.17 06:20,01.10.17 06:34,Employee,JY4233,21.01.17,13.02.17,1611,
2797,check if travel request needs preliminary price inquiry,01.10.17 06:34,01.10.17 06:34,,,21.01.17,13.02.17,1611,
2798,decide on approval requirements,01.10.17 06:34,01.10.17 06:35,,,21.01.17,13.02.17,1611,
2799,forward request to approver,01.10.17 06:35,01.10.17 06:36,,,21.01.17,13.02.17,1611,
2800,decide on request,01.10.17 12:59,01.10.17 13:05,Manager,TD8091,21.01.17,13.02.17,1611,
2801,check if booking is necessary,01.12.17 15:52,01.12.17 15:54,Travel Department,WG5857,21.01.17,13.02.17,1611,
2802,check if expense documents exist,20.02.17 05:59,20.02.17 07:05,Employee,JY4233,21.01.17,13.02.17,1611,
2803,upload travel expense documents,20.02.17 07:05,20.02.17 07:17,Employee,JY4233,21.01.17,13.02.17,1611,
2804,file travel expense report,20.02.17 07:17,20.02.17 07:25,Employee,JY4233,21.01.17,13.02.17,1611,
2805,confirm travel expense report,20.02.17 07:25,20.02.17 07:26,Employee,JY4233,21.01.17,13.02.17,1611,
2806,decide on travel expense approval,20.02.17 13:07,20.02.17 13:09,Manager,IH7395,21.01.17,13.02.17,1611,
2807,send original documents to archive,24.02.17 20:45,24.02.17 21:11,Employee,JY4233,21.01.17,13.02.17,1611,
2808,calculate payments,13.03.17 14:16,13.03.17 14:30,Accounting,GU1789,21.01.17,13.02.17,1611,
2809,pay expenses,17.03.17 08:10,17.03.17 08:14,Accounting,GU1789,21.01.17,13.02.17,1611,
2810,file travel request,01.10.17 08:04,01.10.17 08:21,Employee,RO9133,28.02.17,01.03.17,1612,
2811,check if travel request needs preliminary price inquiry,01.10.17 08:21,01.10.17 08:22,,,28.02.17,01.03.17,1612,
2812,decide on approval requirements,01.10.17 08:22,01.10.17 08:24,,,28.02.17,01.03.17,1612,
2813,check if booking is necessary,01.12.17 10:03,01.12.17 10:06,Travel Department,AW2532,28.02.17,01.03.17,1612,
2814,prepare booking proposal,17.01.17 11:02,17.01.17 12:52,Travel Department,AW2532,28.02.17,01.03.17,1612,
2815,send booking proposal to employee,19.01.17 14:10,19.01.17 14:14,Travel Department,AW2532,28.02.17,01.03.17,1612,
2816,check booking proposal,19.01.17 17:06,19.01.17 17:09,Employee,RO9133,28.02.17,01.03.17,1612,
2817,book travel,25.01.17 08:13,25.01.17 11:24,Travel Department,AW2532,28.02.17,01.03.17,1612,
2818,check if expense documents exist,03.06.17 05:59,03.06.17 06:46,Employee,RO9133,28.02.17,01.03.17,1612,
2819,upload travel expense documents,03.06.17 06:46,03.06.17 07:07,Employee,RO9133,28.02.17,01.03.17,1612,
2820,file travel expense report,03.06.17 07:07,03.06.17 07:16,Employee,RO9133,28.02.17,01.03.17,1612,
2821,confirm travel expense report,03.06.17 07:16,03.06.17 07:18,Employee,RO9133,28.02.17,01.03.17,1612,
2822,decide on travel expense approval,03.06.17 13:10,03.06.17 13:14,Manager,CV4719,28.02.17,01.03.17,1612,
2823,send request for travel expense correction,03.06.17 13:14,03.06.17 13:15,,,28.02.17,01.03.17,1612,
2824,correct travel expense report,14.03.17 05:59,14.03.17 07:05,Employee,RO9133,28.02.17,01.03.17,1612,
2825,decide on travel expense approval,14.03.17 12:59,14.03.17 13:06,Manager,CV4719,28.02.17,01.03.17,1612,
2826,send request for travel expense correction,14.03.17 13:06,14.03.17 13:07,,,28.02.17,01.03.17,1612,
2827,correct travel expense report,20.03.17 05:59,20.03.17 06:59,Employee,RO9133,28.02.17,01.03.17,1612,
2828,decide on travel expense approval,20.03.17 13:07,20.03.17 13:13,Manager,CV4719,28.02.17,01.03.17,1612,
2829,send original documents to archive,22.03.17 05:59,22.03.17 06:52,Employee,RO9133,28.02.17,01.03.17,1612,
2830,calculate payments,17.04.17 09:36,17.04.17 11:38,Accounting,VA7847,28.02.17,01.03.17,1612,
2831,pay expenses,05.01.17 09:24,05.01.17 09:29,Accounting,VA7847,28.02.17,01.03.17,1612,
2832,file travel request,01.10.17 09:25,01.10.17 09:43,Employee,JA4929,07.03.17,11.03.17,1613,
2833,check if travel request needs preliminary price inquiry,01.10.17 09:43,01.10.17 09:44,,,07.03.17,11.03.17,1613,
2834,decide on approval requirements,01.10.17 09:44,01.10.17 09:44,,,07.03.17,11.03.17,1613,
2835,check if booking is necessary,01.12.17 10:21,01.12.17 10:26,Travel Department,NV2279,07.03.17,11.03.17,1613,
2836,check if expense documents exist,13.03.17 05:59,13.03.17 06:45,Employee,JA4929,07.03.17,11.03.17,1613,
2837,upload travel expense documents,13.03.17 06:45,13.03.17 07:09,Employee,JA4929,07.03.17,11.03.17,1613,
2838,file travel expense report,13.03.17 07:09,13.03.17 07:14,Employee,JA4929,07.03.17,11.03.17,1613,
2839,confirm travel expense report,13.03.17 07:14,13.03.17 07:15,Employee,JA4929,07.03.17,11.03.17,1613,
2840,decide on travel expense approval,13.03.17 13:07,13.03.17 13:10,Manager,IH7395,07.03.17,11.03.17,1613,
2841,send original documents to archive,27.03.17 05:59,27.03.17 07:37,Employee,JA4929,07.03.17,11.03.17,1613,
2842,calculate payments,04.05.17 08:21,04.05.17 10:09,Accounting,FQ3758,07.03.17,11.03.17,1613,
2843,pay expenses,04.12.17 09:05,04.12.17 09:17,Accounting,FQ3758,07.03.17,11.03.17,1613,
2844,file travel request,01.10.17 11:02,01.10.17 11:18,Employee,LP7572,02.02.17,04.02.17,1614,
2845,check if travel request needs preliminary price inquiry,01.10.17 11:18,01.10.17 11:19,,,02.02.17,04.02.17,1614,
2846,decide on approval requirements,01.10.17 11:19,01.10.17 11:19,,,02.02.17,04.02.17,1614,
2847,check if booking is necessary,01.12.17 13:25,01.12.17 13:33,Travel Department,JV9257,02.02.17,04.02.17,1614,
2848,check if expense documents exist,13.02.17 05:59,13.02.17 06:50,Employee,LP7572,02.02.17,04.02.17,1614,
2849,upload travel expense documents,13.02.17 06:50,13.02.17 07:00,Employee,LP7572,02.02.17,04.02.17,1614,
2850,file travel expense report,13.02.17 07:00,13.02.17 07:18,Employee,LP7572,02.02.17,04.02.17,1614,
2851,confirm travel expense report,13.02.17 07:18,13.02.17 07:21,Employee,LP7572,02.02.17,04.02.17,1614,
2852,decide on travel expense approval,13.02.17 13:11,13.02.17 13:12,Manager,IH7395,02.02.17,04.02.17,1614,
2853,send request for travel expense correction,13.02.17 13:12,13.02.17 13:14,,,02.02.17,04.02.17,1614,
2854,correct travel expense report,15.02.17 06:06,15.02.17 07:01,Employee,LP7572,02.02.17,04.02.17,1614,
2855,decide on travel expense approval,15.02.17 12:59,15.02.17 13:03,Manager,IH7395,02.02.17,04.02.17,1614,
2856,send request for travel expense correction,15.02.17 13:03,15.02.17 13:03,,,02.02.17,04.02.17,1614,
2857,correct travel expense report,17.02.17 18:38,17.02.17 19:30,Employee,LP7572,02.02.17,04.02.17,1614,
2858,decide on travel expense approval,20.02.17 12:59,20.02.17 13:05,Manager,IH7395,02.02.17,04.02.17,1614,
2859,send original documents to archive,27.02.17 05:59,27.02.17 06:37,Employee,LP7572,02.02.17,04.02.17,1614,
2860,calculate payments,03.09.17 07:59,03.09.17 08:12,Accounting,JH2172,02.02.17,04.02.17,1614,
2861,pay expenses,04.03.17 08:22,04.03.17 09:30,Accounting,JH2172,02.02.17,04.02.17,1614,
2862,file travel request,01.10.17 12:15,01.10.17 12:30,Employee,JD1610,05.04.17,09.04.17,1615,
2863,check if travel request needs preliminary price inquiry,01.10.17 12:30,01.10.17 12:32,,,05.04.17,09.04.17,1615,
2864,prepare booking proposal,01.12.17 14:39,01.12.17 16:34,Travel Department,NV2279,05.04.17,09.04.17,1615,
2865,send booking proposal to employee,17.01.17 12:38,17.01.17 12:40,Travel Department,NV2279,05.04.17,09.04.17,1615,
2866,check booking proposal,17.01.17 13:40,17.01.17 13:47,Employee,JD1610,05.04.17,09.04.17,1615,
2867,transform price inquiry to travel request,17.01.17 13:53,17.01.17 13:53,Employee,JD1610,05.04.17,09.04.17,1615,
2868,decide on approval requirements,17.01.17 13:53,17.01.17 13:53,,,05.04.17,09.04.17,1615,
2869,check if booking is necessary,19.01.17 15:55,19.01.17 15:57,Travel Department,NV2279,05.04.17,09.04.17,1615,
2870,check if expense documents exist,04.12.17 16:39,04.12.17 16:59,Employee,JD1610,05.04.17,09.04.17,1615,
2871,upload travel expense documents,04.12.17 16:59,04.12.17 17:16,Employee,JD1610,05.04.17,09.04.17,1615,
2872,file travel expense report,04.12.17 17:16,04.12.17 17:34,Employee,JD1610,05.04.17,09.04.17,1615,
2873,confirm travel expense report,04.12.17 17:34,04.12.17 17:36,Employee,JD1610,05.04.17,09.04.17,1615,
2874,decide on travel expense approval,13.04.17 13:59,13.04.17 14:02,Manager,DY1868,05.04.17,09.04.17,1615,
2875,send original documents to archive,17.04.17 12:40,17.04.17 13:06,Employee,JD1610,05.04.17,09.04.17,1615,
2876,calculate payments,22.06.17 08:59,22.06.17 09:25,Accounting,CX8911,05.04.17,09.04.17,1615,
2877,pay expenses,07.10.17 09:20,07.10.17 09:27,Accounting,CX8911,05.04.17,09.04.17,1615,
2878,file travel request,01.10.17 13:55,01.10.17 14:12,Employee,XE8781,17.04.17,29.04.17,1616,
2879,check if travel request needs preliminary price inquiry,01.10.17 14:12,01.10.17 14:12,,,17.04.17,29.04.17,1616,
2880,decide on approval requirements,01.10.17 14:12,01.10.17 14:14,,,17.04.17,29.04.17,1616,
2881,forward request to approver,01.10.17 14:14,01.10.17 14:15,,,17.04.17,29.04.17,1616,
2882,decide on request,01.11.17 12:59,01.11.17 13:00,Manager,MA6233,17.04.17,29.04.17,1616,
2883,check if booking is necessary,16.01.17 10:19,16.01.17 10:22,Travel Department,NV2279,17.04.17,29.04.17,1616,
2884,prepare booking proposal,18.01.17 15:17,18.01.17 16:45,Travel Department,NV2279,17.04.17,29.04.17,1616,
2885,send booking proposal to employee,23.01.17 14:08,23.01.17 14:11,Travel Department,NV2279,17.04.17,29.04.17,1616,
2886,check booking proposal,23.01.17 18:57,23.01.17 18:58,Employee,XE8781,17.04.17,29.04.17,1616,
2887,book travel,27.01.17 08:04,27.01.17 08:29,Travel Department,NV2279,17.04.17,29.04.17,1616,
2888,check if expense documents exist,05.05.17 06:59,05.05.17 07:21,Employee,XE8781,17.04.17,29.04.17,1616,
2889,upload travel expense documents,05.05.17 07:21,05.05.17 07:35,Employee,XE8781,17.04.17,29.04.17,1616,
2890,file travel expense report,05.05.17 07:35,05.05.17 07:44,Employee,XE8781,17.04.17,29.04.17,1616,
2891,confirm travel expense report,05.05.17 07:44,05.05.17 07:46,Employee,XE8781,17.04.17,29.04.17,1616,
2892,decide on travel expense approval,05.05.17 13:59,05.05.17 14:03,Manager,MA6233,17.04.17,29.04.17,1616,
2893,send original documents to archive,18.05.17 20:21,18.05.17 20:25,Employee,XE8781,17.04.17,29.04.17,1616,
2894,calculate payments,24.05.17 14:40,24.05.17 15:37,Accounting,GR7476,17.04.17,29.04.17,1616,
2895,pay expenses,06.05.17 10:41,06.05.17 10:48,Accounting,GR7476,17.04.17,29.04.17,1616,
2896,file travel request,01.10.17 15:30,01.10.17 15:41,Employee,HA4851,19.03.17,24.03.17,1617,
2897,check if travel request needs preliminary price inquiry,01.10.17 15:41,01.10.17 15:42,,,19.03.17,24.03.17,1617,
2898,decide on approval requirements,01.10.17 15:42,01.10.17 15:43,,,19.03.17,24.03.17,1617,
2899,check if booking is necessary,13.01.17 11:17,13.01.17 11:27,Travel Department,KS9688,19.03.17,24.03.17,1617,
2900,check if expense documents exist,04.03.17 05:59,04.03.17 07:14,Employee,HA4851,19.03.17,24.03.17,1617,
2901,file travel expense report,04.03.17 07:14,04.03.17 07:25,Employee,HA4851,19.03.17,24.03.17,1617,
2902,confirm travel expense report,04.03.17 07:25,04.03.17 07:29,Employee,HA4851,19.03.17,24.03.17,1617,
2903,decide on travel expense approval,04.03.17 13:59,04.03.17 14:05,Manager,YS1169,19.03.17,24.03.17,1617,
2904,calculate payments,19.04.17 15:25,19.04.17 15:45,Accounting,JK6642,19.03.17,24.03.17,1617,
2905,send original documents to archive,20.04.17 14:31,20.04.17 14:36,Employee,HA4851,19.03.17,24.03.17,1617,
2906,pay expenses,05.08.17 08:59,05.08.17 09:05,Accounting,JK6642,19.03.17,24.03.17,1617,
2907,file travel request,01.10.17 16:44,01.10.17 16:54,Employee,QC8837,07.03.17,09.03.17,1618,
2908,check if travel request needs preliminary price inquiry,01.10.17 16:54,01.10.17 16:55,,,07.03.17,09.03.17,1618,
2909,decide on approval requirements,01.10.17 16:55,01.10.17 16:56,,,07.03.17,09.03.17,1618,
2910,check if booking is necessary,13.01.17 12:09,13.01.17 12:13,Travel Department,JV9257,07.03.17,09.03.17,1618,
2911,check if expense documents exist,15.03.17 11:25,15.03.17 12:27,Employee,QC8837,07.03.17,09.03.17,1618,
2912,file travel expense report,15.03.17 12:27,15.03.17 12:41,Employee,QC8837,07.03.17,09.03.17,1618,
2913,confirm travel expense report,15.03.17 12:41,15.03.17 12:44,Employee,QC8837,07.03.17,09.03.17,1618,
2914,decide on travel expense approval,15.03.17 13:02,15.03.17 13:05,Manager,IH7395,07.03.17,09.03.17,1618,
2915,send original documents to archive,29.03.17 05:59,29.03.17 07:46,Employee,QC8837,07.03.17,09.03.17,1618,
2916,calculate payments,18.04.17 13:21,18.04.17 15:01,Accounting,JK6642,07.03.17,09.03.17,1618,
2917,pay expenses,24.04.17 11:36,24.04.17 11:40,Accounting,JK6642,07.03.17,09.03.17,1618,
2918,file travel request,01.10.17 18:32,01.10.17 18:40,Employee,IX6854,17.04.17,19.04.17,1619,
2919,check if travel request needs preliminary price inquiry,01.10.17 18:40,01.10.17 18:41,,,17.04.17,19.04.17,1619,
2920,decide on approval requirements,01.10.17 18:41,01.10.17 18:42,,,17.04.17,19.04.17,1619,
2921,check if booking is necessary,13.01.17 12:42,13.01.17 12:43,Travel Department,WG5857,17.04.17,19.04.17,1619,
2922,prepare booking proposal,18.01.17 07:59,18.01.17 09:08,Travel Department,WG5857,17.04.17,19.04.17,1619,
2923,send booking proposal to employee,20.01.17 14:47,20.01.17 14:49,Travel Department,WG5857,17.04.17,19.04.17,1619,
2924,check booking proposal,20.01.17 16:02,20.01.17 16:13,Employee,IX6854,17.04.17,19.04.17,1619,
2925,book travel,26.01.17 08:05,26.01.17 10:36,Travel Department,WG5857,17.04.17,19.04.17,1619,
2926,check if expense documents exist,24.04.17 06:59,24.04.17 07:20,Employee,IX6854,17.04.17,19.04.17,1619,
2927,upload travel expense documents,24.04.17 07:20,24.04.17 07:34,Employee,IX6854,17.04.17,19.04.17,1619,
2928,file travel expense report,24.04.17 07:34,24.04.17 07:40,Employee,IX6854,17.04.17,19.04.17,1619,
2929,confirm travel expense report,24.04.17 07:40,24.04.17 07:41,Employee,IX6854,17.04.17,19.04.17,1619,
2930,decide on travel expense approval,24.04.17 14:03,24.04.17 14:05,Manager,AK7488,17.04.17,19.04.17,1619,
2931,send original documents to archive,05.01.17 06:59,05.01.17 07:22,Employee,IX6854,17.04.17,19.04.17,1619,
2932,calculate payments,15.05.17 11:20,15.05.17 12:17,Accounting,VA7847,17.04.17,19.04.17,1619,
2933,pay expenses,30.05.17 09:10,30.05.17 09:14,Accounting,VA7847,17.04.17,19.04.17,1619,
2934,file travel request,01.10.17 19:51,01.10.17 20:01,Employee,HK3447,20.02.17,21.02.17,1620,
2935,check if travel request needs preliminary price inquiry,01.10.17 20:01,01.10.17 20:02,,,20.02.17,21.02.17,1620,
2936,decide on approval requirements,01.10.17 20:02,01.10.17 20:02,,,20.02.17,21.02.17,1620,
2937,check if booking is necessary,13.01.17 12:43,13.01.17 12:46,Travel Department,AW2532,20.02.17,21.02.17,1620,
2938,check if expense documents exist,27.02.17 14:18,27.02.17 14:22,Employee,HK3447,20.02.17,21.02.17,1620,
2939,upload travel expense documents,27.02.17 14:22,27.02.17 14:34,Employee,HK3447,20.02.17,21.02.17,1620,
2940,file travel expense report,27.02.17 14:34,27.02.17 14:40,Employee,HK3447,20.02.17,21.02.17,1620,
2941,confirm travel expense report,27.02.17 14:40,27.02.17 14:42,Employee,HK3447,20.02.17,21.02.17,1620,
2942,decide on travel expense approval,28.02.17 12:59,28.02.17 13:00,Manager,MA6233,20.02.17,21.02.17,1620,
2943,send request for travel expense correction,28.02.17 13:00,28.02.17 13:01,,,20.02.17,21.02.17,1620,
2944,correct travel expense report,03.06.17 11:47,03.06.17 13:05,Employee,HK3447,20.02.17,21.02.17,1620,
2945,decide on travel expense approval,03.06.17 13:12,03.06.17 13:15,Manager,MA6233,20.02.17,21.02.17,1620,
2946,send original documents to archive,21.03.17 05:59,21.03.17 06:08,Employee,HK3447,20.02.17,21.02.17,1620,
2947,calculate payments,23.03.17 07:59,23.03.17 08:47,Accounting,FQ3758,20.02.17,21.02.17,1620,
2948,pay expenses,27.03.17 08:18,27.03.17 09:29,Accounting,FQ3758,20.02.17,21.02.17,1620,
2949,file travel request,01.10.17 21:17,01.10.17 21:18,Employee,NA4675,06.03.17,10.03.17,1621,
2950,check if travel request needs preliminary price inquiry,01.10.17 21:18,01.10.17 21:19,,,06.03.17,10.03.17,1621,
2951,decide on approval requirements,01.10.17 21:19,01.10.17 21:19,,,06.03.17,10.03.17,1621,
2952,check if booking is necessary,13.01.17 12:46,13.01.17 12:49,Travel Department,WG5857,06.03.17,10.03.17,1621,
2953,prepare booking proposal,18.01.17 07:59,18.01.17 09:02,Travel Department,WG5857,06.03.17,10.03.17,1621,
2954,send booking proposal to employee,20.01.17 14:43,20.01.17 14:47,Travel Department,WG5857,06.03.17,10.03.17,1621,
2955,check booking proposal,20.01.17 19:38,20.01.17 19:51,Employee,NA4675,06.03.17,10.03.17,1621,
2956,book travel,26.01.17 08:53,26.01.17 11:27,Travel Department,WG5857,06.03.17,10.03.17,1621,
2957,check if expense documents exist,13.03.17 10:36,13.03.17 10:45,Employee,NA4675,06.03.17,10.03.17,1621,
2958,upload travel expense documents,13.03.17 10:45,13.03.17 11:06,Employee,NA4675,06.03.17,10.03.17,1621,
2959,file travel expense report,13.03.17 11:06,13.03.17 11:14,Employee,NA4675,06.03.17,10.03.17,1621,
2960,confirm travel expense report,13.03.17 11:14,13.03.17 11:15,Employee,NA4675,06.03.17,10.03.17,1621,
2961,decide on travel expense approval,13.03.17 13:10,13.03.17 13:14,Manager,MV9004,06.03.17,10.03.17,1621,
2962,send original documents to archive,15.03.17 19:51,15.03.17 20:40,Employee,NA4675,06.03.17,10.03.17,1621,
2963,calculate payments,04.04.17 07:59,04.04.17 09:29,Accounting,FQ3758,06.03.17,10.03.17,1621,
2964,pay expenses,14.04.17 09:47,14.04.17 09:57,Accounting,FQ3758,06.03.17,10.03.17,1621,
2965,file travel request,01.11.17 05:59,01.11.17 06:05,Employee,YD3983,04.04.17,08.04.17,1622,
2966,check if travel request needs preliminary price inquiry,01.11.17 06:05,01.11.17 06:07,,,04.04.17,08.04.17,1622,
2967,decide on approval requirements,01.11.17 06:07,01.11.17 06:07,,,04.04.17,08.04.17,1622,
2968,check if booking is necessary,13.01.17 12:51,13.01.17 12:54,Travel Department,KS9688,04.04.17,08.04.17,1622,
